seed,unfreeze_from,dropout,best_val_loss,best_val_acc,test_loss,test_acc
123,block5_conv1,0.2,0.5594,0.8901,0.5437,0.8901
123,block4_conv1,0.2,0.6876,0.8745,0.6842,0.8721
123,block5_conv1,0.4,0.9139,0.8359,0.9010,0.8467
123,block4_conv1,0.4,1.1461,0.7675,1.1146,0.7729
123,block5_conv1,0.6,1.9501,0.6248,1.9215,0.6416
123,block4_conv1,0.6,1.9979,0.5979,1.9644,0.6094
42,block5_conv1,0.2,0.5395,0.9086,0.5878,0.8970
42,block4_conv1,0.2,0.6521,0.8911,0.6921,0.8711
42,block5_conv1,0.4,0.9076,0.8417,0.9555,0.8311
42,block4_conv1,0.4,1.0939,0.8124,1.1278,0.8110
42,block5_conv1,0.6,1.8566,0.6331,1.9024,0.6323
42,block4_conv1,0.6,2.0879,0.5125,2.1216,0.5078